HIPNum1	HIPNum2	distance
5165	3949	4.961743
7607	5434	4.967140
4427	1269	4.969475
3179	518	4.973588
7083	7978	4.985189
13701	15244	4.986269
2021	117689	4.986673
8903	10050	4.998390
677	118281	5.007025
2021	114550	5.007369
3821	5251	5.009409
6537	6283	5.010150
2072	3807	5.014151
2021	814	5.015981
5348	3949	5.016770
7083	8241	5.017033
8886	9009	5.017731
9487	9706	5.020610
11767	58874	5.021213
765	2802	5.021915
1067	1168	5.033636
10602	8241	5.040104
3821	1960	5.041652
3092	4552	5.046283
6686	5589	5.049713
8886	12239	5.051486
746	531	5.056737
9884	11578	5.057352
8886	7294	5.063405
8102	6748	5.063971
2021	118114	5.065273
5364	6564	5.083076
12706	14104	5.083679
7588	9236	5.090965
13209	11415	5.092234
746	115990	5.093269
13531	11313	5.096686
12706	11791	5.098414
3179	1921	5.099896
13701	12390	5.102595
3092	4889	5.103359
2920	5542	5.104648
8886	5688	5.113836
2081	25	5.122465
3419	3559	5.126023
9598	4709	5.126651
9640	7513	5.128094
8796	10053	5.128412
7097	5483	5.139695
10064	8423	5.140664
14328	13347	5.141450
13531	14264	5.150950
3092	4366	5.154130
13531	11174	5.159333
9640	8127	5.161557
3419	2852	5.161684
1562	154	5.161685
13701	12107	5.163583
2072	3583	5.163954
14328	15770	5.165079
7607	5993	5.165269
9007	7751	5.166502
9347	8209	5.167224
3821	4212	5.169036
2081	3456	5.169138
8886	11569	5.169475
5348	7978	5.171665
9487	10234	5.172781
14328	15669	5.175155
10602	9095	5.185422
13701	13717	5.186053
5447	7321	5.193863
5165	6867	5.200123
2072	2472	5.202137
13209	12160	5.218539
3092	1208	5.220700
14328	16210	5.222618
3179	4023	5.223147
8903	7359	5.224014
4427	7251	5.227228
2920	5240	5.228973
13847	14972	5.237937
8832	9884	5.240023
5165	5300	5.240510
8886	7963	5.247936
9598	14862	5.249955
7607	7786	5.251582
14328	13462	5.253041
765	116737	5.256068
9640	8423	5.257128
3179	3965	5.257240
11767	113116	5.258925
3179	6093	5.262550
9884	9627	5.271582
9640	9001	5.279477
3179	4998	5.282297
3821	1269	5.282993
9640	9021	5.290834
3821	6686	5.301100
5165	2802	5.302724
8645	8688	5.312970
3419	1821	5.314227
8886	6692	5.315563
5364	6748	5.317043
9598	6692	5.319145
9007	8837	5.319737
6537	8143	5.324038
677	117073	5.328937
9598	13367	5.334706
6537	6605	5.338266
3179	4475	5.341031
5165	7189	5.341940
8903	10296	5.342164
14328	12777	5.348297
7607	7825	5.350594
4436	6514	5.352734
13531	15192	5.356787
746	2611	5.358937
13209	11548	5.360018
13209	11486	5.365083
9640	7444	5.376815
6537	7916	5.378924
746	3821	5.380316
6537	7362	5.381673
6867	8837	5.383535
14135	15807	5.384770
10064	12086	5.390919
13531	11220	5.406647
8796	10203	5.414773
677	2583	5.418271
8102	8497	5.419754
2021	112781	5.427541
3179	4962	5.430854
13847	16015	5.437029
765	3137	5.439709
7607	5650	5.440453
3179	3988	5.444544
6686	5542	5.450080
9640	10403	5.457542
7097	6492	5.470531
13701	12002	5.470709
6867	4890	5.472193
9598	11569	5.473126
7083	4890	5.475038
9640	8930	5.477401
8102	7679	5.478371
3179	1269	5.479525
3821	2599	5.487510
14328	15988	5.489289
9884	10446	5.490207
8645	7276	5.493970
9598	9568	5.495054
3821	1354	5.497337
14328	15004	5.499069
12706	14315	5.501905
13531	15004	5.502078
9640	7651	5.504928
9487	11021	5.507097
5165	3521	5.514768
13531	15863	5.517738
5364	4914	5.519538
8886	9990	5.521738
765	116602	5.522171
14328	16244	5.527654
8903	9621	5.528713
1562	2353	5.534415
6867	8641	5.542646
5447	5586	5.545704
7607	6711	5.552513
2920	1639	5.553478
3419	3858	5.553623
13268	16292	5.554265
3821	2497	5.555572
3419	1728	5.556648
1067	2734	5.557712
3092	5034	5.557737
765	3245	5.558830
746	2505	5.560107
11767	20860	5.560699
8903	7447	5.562770
13531	13347	5.562938
7097	7981	5.576558
13531	11060	5.576821
1067	2213	5.578004
8903	10732	5.578576
9487	9809	5.581004
3179	6242	5.589325
9007	10871	5.591835
5447	5679	5.598266
9884	11670	5.608618
5348	4563	5.608826
13531	13713	5.610599
8886	10379	5.612194
13531	13965	5.613392
10602	8552	5.617199
677	394	5.618396
10602	7978	5.618695
