%  RA(deg)   DEC(deg)    HIPNum  Mag
 61.646014  50.351262  19167  4.25
 62.966418  -6.837581  19587  4.04
 63.724426  48.409331  19812  4.12
 63.818001  -7.652871  19849  4.43
 63.883572   8.892357  19860  4.27
 64.006607 -51.486648  19893  4.26
 64.120953 -59.302156  19921  4.44
 66.342355  22.293874  20635  4.21
 66.372432  17.927910  20648  4.30
 66.576931  22.813583  20711  4.28
 66.586422  15.618265  20713  4.48
 68.377303 -29.766492  21248  4.49
 68.913584  10.160790  21402  4.25
 69.172623  41.264808  21476  4.25
 69.539427  12.510838  21589  4.27
 70.110464 -19.671493  21763  4.32
 70.140469 -41.863753  21770  4.44
 70.561257  22.956926  21881  4.27
 71.375630  -3.254657  22109  4.01
 72.653007   8.900176  22509  4.35
 73.223624  -5.452695  22701  4.36
 73.512547  66.342678  22783  4.26
 74.092810  13.514466  22957  4.06
 74.321652  53.752101  23040  4.43
 74.637091   1.714016  23123  4.47
 75.854542  60.442246  23522  4.03
 77.286596  -8.754081  23972  4.25
 78.074593 -11.869219  24244  4.45
 78.307824 -12.941292  24327  4.36
 78.322839   2.861265  24331  4.46
 79.893852 -13.176789  24845  4.29
 80.986784  -7.808065  25247  4.13
 82.696049   5.948139  25813  4.20
 83.053129  18.594234  25945  4.32
 83.705155   9.489579  26176  4.39
 84.226616   9.290673  26366  4.09
 84.796443   4.121467  26594  4.50
 86.193245 -65.735526  27100  4.34
 87.456926 -56.166663  27530  4.50
 88.595760  20.276175  27913  4.39
 89.384208 -35.283280  28199  4.36
 89.983747  45.936736  28404  4.30
 90.595828   9.647277  28614  4.12
 91.030062  23.263341  28734  4.16
 91.893020  14.768472  29038  4.42
 92.984983  14.208765  29426  4.45
 93.844538  29.498076  29696  4.32
 94.138065 -35.140519  29807  4.37
 94.905778  59.010965  30060  4.44
 95.942023   4.592865  30419  4.39
 97.042533 -32.580071  30788  4.47
 97.240778  20.212133  30883  4.13
 97.964027 -23.418422  31125  4.34
 98.225947   7.332965  31216  4.47
 98.744083 -52.975607  31407  4.35
 99.472590 -18.237478  31700  4.42
100.997053  13.228017  32249  4.49
101.965205   2.412159  32578  4.48
102.463808 -53.622450  32761  4.41
103.547491 -12.038628  33160  4.08
104.034270 -17.054242  33347  4.36
104.319191  58.422759  33449  4.35
105.939553 -15.633286  34045  4.11
106.027216  20.570297  34088  4.01
107.784878  30.245163  34693  4.41
107.966084  -0.492764  34769  4.15
108.140106 -46.759305  34834  4.49
108.384661 -44.639739  34922  4.42
108.563384 -26.352507  34981  4.42
108.702725 -26.772667  35037  4.01
109.677028 -24.954375  35415  4.37
112.040810   8.925530  36284  4.33
112.277996  31.784550  36366  4.16
113.513252 -22.296067  36795  4.44
113.980610  26.895741  36962  4.06
115.828027  28.883510  37629  4.23
117.021534 -25.937169  38070  4.40
117.309563 -46.373205  38164  4.10
118.161026 -38.862812  38455  4.49
118.325661 -48.102934  38518  4.22
119.214748 -22.880119  38835  4.20
119.560155 -49.244912  38957  4.47
120.566404   2.334571  39311  4.39
121.982471 -68.617062  39794  4.35
122.148533  -2.983786  39863  4.36
122.256822 -19.245014  39906  4.40
122.839556 -39.618546  40091  4.44
123.512173 -40.347890  40326  4.42
124.631458 -76.919723  40702  4.05
124.638801 -36.659288  40706  4.44
125.160585 -77.484477  40888  4.34
125.708790  43.188131  41075  4.25
129.410971 -42.989081  42312  4.11
129.414026   5.703782  42313  4.14
129.689324   3.341435  42402  4.45
130.154280 -59.761003  42568  4.31
130.806147   3.398662  42799  4.30
131.099779 -42.649276  42884  4.05
131.593908 -13.547720  43067  4.32
131.674252  28.759898  43103  4.03
131.677288 -56.769776  43105  4.50
132.108211   5.837812  43234  4.35
132.633014 -27.709844  43409  4.02
134.621757  11.857701  44066  4.26
135.022536 -41.253605  44191  4.45
136.286724 -72.602705  44599  4.47
137.217734  51.604648  44901  4.46
139.050301 -57.541474  45496  4.34
141.163580  26.182324  46146  4.47
142.930117  22.967971  46750  4.32
143.611043 -59.229753  46974  4.08
143.705972  52.051477  47006  4.47
144.206417 -49.355026  47175  4.34
144.272029  81.326382  47193  4.28
147.869557 -14.846603  48356  4.11
151.857340  35.244693  49593  4.49
151.976128   9.997508  49637  4.39
151.984501  -0.371637  49641  4.48
155.228317 -56.043220  50676  4.50
156.787921 -31.067779  51172  4.28
156.970832  36.707212  51233  4.20
158.867109 -78.607786  51839  4.11
158.897074 -57.557636  51849  4.45
159.826638 -55.603269  52154  4.29
161.445847 -80.540188  52633  4.45
163.903324  24.749718  53417  4.30
164.943603 -18.298783  53740  4.08
165.038600 -42.225859  53773  4.37
165.582397  20.179842  53954  4.42
167.914539 -22.825847  54682  4.46
169.165420  -3.651601  55084  4.45
170.284143   6.029322  55434  4.05
171.220516 -17.684010  55705  4.06
174.237211  -0.823749  56647  4.30
176.464829   6.529376  57380  4.04
176.628427 -61.178399  57439  4.11
176.996400  20.218931  57565  4.50
177.421102 -63.788478  57669  4.30
177.786215 -45.173470  57803  4.47
178.227169 -33.908124  57936  4.29
180.756254 -63.312930  58758  4.32
181.302248   8.732985  58948  4.12
181.720414 -64.613730  59072  4.14
182.021771 -50.661278  59173  4.46
182.103404 -24.728876  59199  4.02
184.392820 -67.960736  59929  4.06
184.586767 -79.312240  60000  4.24
184.609369 -64.003071  60009  4.06
186.734468  28.268423  60742  4.35
188.017612 -16.196008  61174  4.30
188.435603  41.357480  61317  4.24
193.278776 -48.943315  62867  4.33
193.359163 -40.178872  62896  4.25
193.648437 -57.177924  63003  4.03
196.727664 -49.906246  64004  4.27
197.487464  -5.539010  64238  4.38
197.496986  17.529431  64241  4.32
197.968306  27.878183  64394  4.23
206.421855 -33.043721  67153  4.23
206.815596  17.456906  67275  4.50
207.361338 -34.450776  67457  4.19
207.369338  15.797905  67459  4.05
207.956668 -32.994090  67669  4.32
210.411639   1.544532  68520  4.23
210.431230 -45.603421  68523  4.34
211.511530 -41.179633  68862  4.36
213.223941 -10.273702  69427  4.18
214.003624  -6.000547  69701  4.07
214.095911  46.088305  69732  4.18
215.081429 -56.386497  70069  4.30
215.139298 -37.885295  70090  4.05
215.759329 -39.511819  70300  4.41
216.299152  51.850744  70497  4.04
216.545053 -45.379276  70576  4.33
216.730142 -83.667884  70638  4.31
216.881430  75.695993  70692  4.25
218.154402 -50.457157  71121  4.44
218.670071  29.745130  71284  4.47
219.471776 -49.425828  71536  4.05
220.181528  16.418324  71762  4.49
220.489962 -37.793499  71865  4.01
220.914333 -35.173655  72010  4.06
222.572125 -27.960371  72571  4.42
222.909597 -43.575359  72683  4.32
224.295831  -4.346462  73165  4.47
225.725156   2.091303  73620  4.39
227.210897 -45.279858  74117  4.07
229.378539 -58.801208  74824  4.07
229.457663 -30.148673  74857  4.35
229.633421 -47.875272  74911  4.27
230.844358 -59.320787  75323  4.48
231.122616  37.377167  75411  4.31
233.232427  31.359133  76127  4.14
234.180094 -66.317038  76440  4.11
234.513356 -42.567348  76552  4.34
236.014664  77.794493  77055  4.29
236.610889   7.353073  77257  4.42
237.184903  18.141564  77450  4.09
238.456408 -16.729294  77853  4.13
